,Class,Nationality,Count
0,1,Austria,1
1,1,Belgium,1
2,1,Canada,19
3,1,Egypt,1
4,1,England,46
5,1,France,8
6,1,Germany,4
7,1,Ireland,6
8,1,Italy,3
9,1,Norway,1
10,1,Poland,1
11,1,Sweden,4
12,1,Swiss,3
13,1,USA,132
14,1,Unknown,117
15,1,Uruguay,3
16,2,Belgium,1
17,2,Canada,3
18,2,Denmark,2
19,2,England,154
20,2,Finland,5
21,2,France,6
22,2,Germany,1
23,2,Hungary,1
24,2,Ireland,12
25,2,Italy,4
26,2,Japan,1
27,2,Lithuania,2
28,2,Portugal,1
29,2,Russia,1
30,2,Slovakia,1
31,2,South Africa,4
32,2,Spain,2
33,2,Sweden,6
34,2,Swiss,2
35,2,Syria,2
36,2,USA,22
37,2,Unknown,60
38,3,Australia,1
39,3,Belgium,6
40,3,Canada,4
41,3,Croatia,9
42,3,Denmark,5
43,3,England,117
44,3,Finland,29
45,3,France,1
46,3,Ireland,106
47,3,Italy,2
48,3,Latvia,1
49,3,Norway,18
50,3,Poland,5
51,3,Russia,3
52,3,Sweden,66
53,3,Swiss,1
54,3,Syria,85
55,3,USA,27
56,3,Unknown,223
